Species,Site,Count
Eupithecia abbreviata ,Denholm Dean W9a,43
Trichopteryx carpinata ,Denholm Dean W9a,16
Orthosia cerasi ,Denholm Dean W9a,8
Orthosia gothica ,Denholm Dean W9a,7
Lithophane socia ,Denholm Dean W9a,2
Lampropteryx suffumata ,Denholm Dean W9a,3
Operophtera brumata,Denholm Dean W9a,1
Perigrapha munda,Denholm Dean W9a,3
Orthosia cerasi ,Whitlaw Wood W9a,8
Orthosia gothica ,Whitlaw Wood W9a,4
Lampropteryx suffumata ,Whitlaw Wood W9a,1
Eupsilia transversa ,Whitlaw Wood W9a,2
Orthosia cruda ,Whitlaw Wood W9a,5
